,User,Text,Tweets Ago,Compound Score,Positive Score,Neutral Score,Negative Score
0,BBCNews,Trump at G7: Who's who in Merkel's photo? https://t.co/OGZos8I875,0,0.0,0.0,1.0,0.0
1,BBCNews,Toulon Tournament: England U21s secure third successive title with 2-1 win over Mexico https://t.co/2W0gQXVFVe,1,0.8074,0.43,0.57,0.0
2,BBCNews,"Nabil Fekir: Liverpool target staying at Lyon, says Ligue 1 club https://t.co/hTngzYS508",2,0.0,0.0,1.0,0.0
3,BBCNews,England women lose to South Africa by seven wickets in ODI series opener https://t.co/DHhhR9VRCs,3,-0.4019,0.0,0.828,0.172
4,BBCNews,South Africa beat England 42-39 in first Test in Johannesburg https://t.co/08MaH8SUQM,4,0.0,0.0,1.0,0.0
5,BBCNews,Hailstorm halts M9 motorway traffic https://t.co/qi7hyVjwtH,5,0.0,0.0,1.0,0.0
6,BBCNews,Stalking victim calls for harsher sentences https://t.co/NrElQRGG99,6,-0.6249,0.114,0.381,0.505
7,BBCNews,"RT @BBCWorld: Inside Afghanistan's only secure psychiatric unit.  The BBC investigates the lasting effects of conflict in the country. 
(Th…",7,0.0258,0.106,0.793,0.101
8,BBCNews,"RT @BBCWorld: Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",8,0.3612,0.128,0.872,0.0
9,BBCNews,"World Cup 2018: Young players to watch in Russia - including 'El Chucky', 'The Sergeant' &amp; 'The Bull' https://t.co/a445gltfrF",9,0.0,0.0,1.0,0.0
10,BBCNews,French Open 2018: Simona Halep beats Sloane Stephens in final https://t.co/5n2QG6NfBq,10,0.0,0.0,1.0,0.0
11,BBCNews,SNP conference: Sturgeon announces 'immediate' NHS pay rise https://t.co/gruK54Mlv1,11,-0.1027,0.0,0.851,0.149
12,BBCNews,England v South Africa: Sarah Taylor's quick glovework sees Sune Luus dismissed for duck https://t.co/2U4w8asIfp,12,0.0,0.0,1.0,0.0
13,BBCNews,"Trooping the Colour: Four things about the event that celebrates the Queen's official birthday
👑… https://t.co/SGNEkrd9yo",13,0.5719,0.198,0.802,0.0
14,BBCNews,"RT @BBCWorld: US President @realDonaldTrump says he is ""on a mission of peace"" when he travels to Singapore to meet Kim Jong-un for the US-…",14,0.5423,0.132,0.868,0.0
15,BBCNews,"RT @BBCWorld: ""The United States has been taken advantage of for decades.. and we can't do that anymore""- US President @realDonaldTrump on…",15,0.5859,0.194,0.806,0.0
16,BBCNews,WSBK: Rea breaks victories record in Brno with 60th win https://t.co/4MouNPtf0I,16,0.5859,0.275,0.725,0.0
17,BBCNews,Trooping the Colour: Royals watch RAF flypast for Queen's birthday https://t.co/xx6aNoZ55V,17,0.0,0.0,1.0,0.0
18,BBCNews,"The first Bond girl, Eunice Grayson, dies at 90 https://t.co/NZNj4GVnYB",18,0.0,0.0,1.0,0.0
19,BBCNews,John Lasseter: Disney animation head to quit after misconduct claims https://t.co/dZd3Hh8zQf,19,0.0,0.0,1.0,0.0
20,BBCNews,Birthday Honours 2018: CBE for Network Rail boss 'slap in the face' https://t.co/buXxv6ntjT,20,0.5859,0.304,0.696,0.0
21,BBCNews,"RT @BBCSport: Australia have ended Ireland's 12-game winning run.

👉 https://t.co/Msu0iZutc9

#bbcrugby https://t.co/FEdrdvYadC",21,0.5267,0.185,0.815,0.0
