,City,Cloudiness,County,Date,Humidity,Latitude,Max Temp (F),Wind Speed
0,mataura,0,NZ,1527827449,73,-46.19,45.92,4.61
1,atuona,0,PF,1527827449,100,-9.8,79.85,14.0
2,saint-philippe,90,CA,1527827449,73,45.36,73.4,11.41
3,georgetown,75,GY,1527827449,94,6.8,77.0,6.93
4,busselton,80,AU,1527827449,100,-33.64,57.8,3.6
5,kupang,0,ID,1527827449,74,-10.16,84.95,16.8
6,ushuaia,8,AR,1527827449,84,-54.81,38.81,16.8
7,punta arenas,40,CL,1527827450,75,-53.16,42.8,16.11
8,hobart,75,AU,1527827450,54,-42.88,55.4,5.82
9,meulaboh,12,ID,1527827450,100,4.14,84.35,5.39
10,pevek,20,RU,1527827450,81,69.7,37.91,20.49
11,cape town,75,ZA,1527827450,63,-33.93,60.8,23.04
12,matara,0,PE,1527827450,72,-13.74,21.95,2.04
13,sterling,90,US,1527827450,100,39.0,73.4,6.93
14,itoman,90,JP,1527827451,88,26.12,77.0,10.29
15,komsomolskiy,92,RU,1527827451,99,67.55,31.4,16.13
16,rikitea,8,PF,1527827451,100,-23.12,76.16,1.92
17,los llanos de aridane,0,ES,1527827451,68,28.66,64.4,12.75
18,makubetsu,75,JP,1527827451,71,42.84,57.2,3.36
19,qaanaaq,64,GL,1527827451,94,77.48,28.91,3.49
20,vardo,90,US,1527827451,100,39.62,71.6,3.36
21,oussouye,20,SN,1527827452,94,12.49,75.2,2.24
22,kodino,0,RU,1527827452,63,63.72,39.89,4.38
23,banjar,0,ID,1527827452,47,-7.37,88.73,4.05
24,iqaluit,90,CA,1527827452,74,63.75,28.4,8.05
25,porbandar,40,IN,1527827452,70,21.64,89.6,9.17
26,toktogul,0,KG,1527827452,52,41.87,58.67,2.59
27,dikson,56,RU,1527827452,100,73.51,28.73,4.05
28,baykit,80,RU,1527827453,59,61.68,47.0,7.52
29,port hedland,40,AU,1527827453,66,-20.31,84.2,9.17
30,usinsk,88,RU,1527827453,78,66.0,35.54,16.46
31,barrow,88,AR,1527827453,81,-38.31,42.23,6.51
32,virginia beach,75,US,1527827453,78,36.85,78.8,8.05
33,saint george,20,GR,1527827453,55,39.45,62.6,6.93
34,kampot,48,KH,1527827453,90,10.62,86.3,4.5
35,riyadh,0,SA,1527827454,21,24.63,91.4,6.62
36,ambilobe,0,MG,1527827454,88,-13.19,62.57,3.04
37,damaturu,0,NG,1527827454,73,11.75,74.33,4.94
38,raudeberg,24,NO,1527827454,82,61.99,64.4,5.82
39,itaunja,12,IN,1527827454,57,27.08,94.94,12.77
40,la ronge,90,CA,1527827455,87,55.1,46.4,11.41
41,new norfolk,75,AU,1527827455,54,-42.78,55.4,5.82
42,cidreira,92,BR,1527827455,98,-30.17,63.11,8.41
43,thompson,75,CA,1527827455,70,55.74,42.8,4.7
44,kaitangata,0,NZ,1527827455,70,-46.28,45.83,4.94
45,egvekinot,64,RU,1527827455,95,66.32,33.74,3.83
46,kapaa,75,US,1527827455,88,22.08,77.0,13.87
47,butaritari,44,KI,1527827456,100,3.07,83.09,12.21
48,albany,90,US,1527827456,78,42.65,71.6,11.41
49,tiksi,44,RU,1527827456,100,71.64,33.68,4.5
50,samarai,68,PG,1527827456,98,-10.62,79.91,16.46
51,zhongshu,20,CN,1527827456,67,24.52,76.31,6.96
52,bredasdorp,92,ZA,1527827456,82,-34.53,55.4,20.8
53,kiunga,92,PG,1527827457,78,-6.12,81.26,2.59
54,arraial do cabo,0,BR,1527827457,96,-22.97,70.31,16.69
55,labuhan,92,ID,1527827457,75,-2.54,83.96,2.93
56,port alfred,0,ZA,1527827457,81,-33.59,61.31,13.44
57,tuktoyaktuk,90,CA,1527827457,85,69.44,44.6,10.29
58,geraldton,90,CA,1527827457,93,49.72,37.4,8.05
59,nizwa,0,OM,1527827458,11,22.93,108.26,2.93
60,kavieng,80,PG,1527827458,100,-2.57,81.2,4.72
61,ancud,0,CL,1527827458,90,-41.87,35.45,6.62
62,ribeira grande,44,PT,1527827458,96,38.52,68.15,13.67
63,castro,20,CL,1527827458,100,-42.48,35.3,6.29
64,tabuk,24,PH,1527827458,82,17.41,80.57,2.15
65,srednekolymsk,88,RU,1527827458,73,67.46,39.89,8.75
66,sao joao da barra,0,BR,1527827458,96,-21.64,75.08,14.79
67,bluff,0,AU,1527827458,32,-23.58,66.98,8.75
68,caruray,56,PH,1527827459,100,10.31,85.49,6.96
69,hermanus,92,ZA,1527827459,98,-34.42,53.66,17.25
70,otradnoye,0,RU,1527827459,46,59.77,53.6,4.47
71,narsaq,0,GL,1527827459,75,60.91,42.8,4.7
72,saint-pierre,0,FR,1527827459,93,48.95,60.8,8.05
73,mahebourg,20,MU,1527827459,82,-20.41,68.0,2.24
74,hithadhoo,32,MV,1527827460,100,-0.6,84.71,15.46
75,poddorye,0,RU,1527827460,37,57.47,58.49,4.61
76,alofi,92,NU,1527827460,83,-19.06,75.2,16.11
77,sabla,0,NG,1527827460,80,12.75,78.11,5.95
78,vanimo,92,PG,1527827460,100,-2.67,78.05,12.21
79,husavik,64,CA,1527827460,69,50.56,55.34,14.9
80,camaragibe,40,BR,1527827461,88,-8.02,73.4,5.82
81,salina,1,US,1527827461,94,36.29,80.6,2.82
82,bethel,40,US,1527827461,54,60.79,53.6,9.17
83,jiuquan,0,CN,1527827461,35,39.73,66.5,7.18
84,cherskiy,76,RU,1527827461,69,68.75,45.83,3.6
85,kapiri mposhi,0,ZM,1527827462,61,-13.97,61.91,9.75
86,orbetello,0,IT,1527827462,93,42.44,59.0,1.12
87,esperance,75,TT,1527827462,88,10.24,78.8,5.82
88,wanaka,0,NZ,1527827462,90,-44.7,23.93,1.81
89,ostrovnoy,80,RU,1527827462,90,68.05,32.42,10.09
90,mar del plata,0,AR,1527827462,100,-46.43,23.78,3.94
91,khatanga,68,RU,1527827463,100,71.98,36.56,15.46
92,beloha,0,MG,1527827463,84,-25.17,69.47,4.83
93,port elizabeth,90,US,1527827463,100,39.31,73.4,3.36
94,vaini,44,IN,1527827463,88,15.34,78.68,3.04
95,the valley,20,AI,1527827463,74,18.22,80.6,10.29
96,leningradskiy,0,RU,1527827463,95,69.38,33.68,7.07
97,yar-sale,92,RU,1527827463,94,66.83,33.77,24.18
98,piacabucu,80,BR,1527827464,96,-10.41,72.71,3.94
99,coruripe,24,BR,1527827464,99,-10.12,78.56,9.53
100,yerbogachen,8,RU,1527827464,48,61.28,71.48,3.83
101,hobyo,32,SO,1527827464,77,5.35,82.34,15.79
102,awjilah,0,LY,1527827464,31,29.14,77.66,6.96
103,souillac,75,FR,1527827464,93,45.6,57.2,2.59
104,gouyave,20,GD,1527827465,83,12.16,80.6,13.87
105,cefalu,0,IT,1527827465,74,38.04,66.68,2.71
106,aksaray,40,TR,1527827465,93,38.37,55.4,1.12
107,henties bay,32,NA,1527827465,100,-22.12,52.1,3.94
108,faanui,68,PF,1527827465,100,-16.48,81.56,11.21
109,carnarvon,0,ZA,1527827465,73,-30.97,34.22,15.9
110,okha,0,RU,1527827465,64,53.59,62.18,6.85
111,boa vista,0,BR,1527827466,88,2.82,78.8,4.7
112,aketi,36,CD,1527827467,95,2.74,73.52,2.82
113,sovetskiy,68,RU,1527827467,68,56.76,41.66,12.44
114,hualmay,36,PE,1527827467,99,-11.1,56.27,1.92
115,bambui,92,CM,1527827467,98,6.01,65.15,2.71
116,musenita,0,RO,1527827467,63,47.97,66.2,4.47
117,sao geraldo do araguaia,48,BR,1527827468,78,-6.4,73.16,2.93
118,atikokan,76,CA,1527827468,77,48.76,52.1,6.51
119,yellowknife,20,CA,1527827468,36,62.45,46.4,4.7
120,provideniya,75,RU,1527827468,80,64.42,41.0,2.24
121,lubao,75,PH,1527827468,55,14.94,93.2,2.24
122,makakilo city,1,US,1527827469,65,21.35,80.6,9.17
123,zuwarah,20,LY,1527827469,79,32.93,73.25,13.11
124,jamestown,44,AU,1527827469,51,-33.21,56.9,9.08
125,sennoy,0,RU,1527827469,53,52.16,47.42,11.99
126,saint anthony,90,US,1527827469,81,43.97,53.6,10.29
127,ojinaga,32,US,1527827470,63,29.56,70.1,3.83
128,manta,0,RO,1527827470,86,45.1,56.18,2.71
129,derzhavinsk,0,KZ,1527827470,37,51.1,71.18,26.87
130,ilulissat,80,GL,1527827470,60,69.22,41.0,16.11
131,aklavik,90,CA,1527827470,62,68.22,55.4,11.41
132,concordia,92,AR,1527827471,100,-31.4,53.0,17.47
133,berlevag,56,NO,1527827471,95,70.86,44.48,12.77
134,norman wells,75,CA,1527827471,30,65.28,68.0,11.41
135,palmer,0,AU,1527827471,44,-34.85,60.8,6.93
136,sao filipe,0,CV,1527827471,100,14.9,71.48,10.87
137,umm lajj,0,SA,1527827471,100,25.02,70.58,4.94
138,longyearbyen,75,NO,1527827471,86,78.22,37.4,4.7
139,abu dhabi,0,AE,1527827472,55,24.47,89.6,2.24
140,la rioja,92,AR,1527827472,100,-29.41,43.91,11.43
141,half moon bay,90,US,1527827472,81,37.46,55.4,10.29
142,huarmey,0,PE,1527827472,90,-10.07,52.85,2.71
143,cambrils,0,ES,1527827472,88,41.07,66.2,2.24
144,puerto ayora,0,EC,1527827472,100,-0.74,73.1,11.1
145,alakurtti,92,RU,1527827473,51,66.96,50.15,5.39
146,port moresby,40,PG,1527827473,66,-9.47,86.0,34.45
147,byron bay,20,AU,1527827473,40,-28.65,69.8,12.75
148,dingle,36,PH,1527827473,99,11.0,82.73,4.16
149,sibolga,0,ID,1527827473,86,1.74,79.04,1.59
150,rocky mount,1,US,1527827473,100,35.94,73.4,4.7
151,krasnozerskoye,24,RU,1527827474,47,53.98,70.91,19.93
152,nishihara,1,JP,1527827474,39,35.74,78.8,13.87
153,atambua,12,ID,1527827474,77,-9.11,86.57,1.14
154,pisco,90,PE,1527827474,93,-13.71,62.6,6.93
155,talnakh,44,RU,1527827474,100,69.49,30.26,4.38
156,waingapu,32,ID,1527827474,62,-9.65,84.53,9.31
157,ust-kut,92,RU,1527827475,61,56.78,60.2,9.64
158,praia da vitoria,40,PT,1527827475,93,38.73,66.2,16.35
159,chokurdakh,12,RU,1527827475,100,70.62,31.52,6.85
160,puno,0,PE,1527827475,100,-15.84,21.05,3.83
161,hilo,40,US,1527827475,83,19.71,73.4,5.82
162,hwange,12,ZW,1527827475,63,-18.35,59.48,2.93
163,oistins,40,BB,1527827476,78,13.07,78.8,19.46
164,bambous virieux,20,MU,1527827476,82,-20.34,68.0,2.24
165,mackay,75,CA,1527827476,87,53.65,46.4,4.7
166,yeppoon,0,AU,1527827476,48,-23.13,71.6,6.93
167,lakes entrance,92,AU,1527827476,95,-37.88,53.81,13.0
168,tazmalt,40,DZ,1527827476,93,36.39,60.8,8.05
169,ampanihy,8,MG,1527827477,94,-24.69,55.28,2.93
170,mountain home,75,US,1527827477,66,43.13,59.0,14.99
171,saint-augustin,90,FR,1527827477,87,44.83,60.8,3.36
172,galesong,20,ID,1527827477,55,-5.32,91.4,3.36
173,fortuna,20,ES,1527827477,93,38.18,64.4,3.36
174,lata,48,IN,1527827478,100,30.78,63.8,1.03
175,mundo nuevo,0,CL,1527827478,81,-32.72,42.8,3.36
176,tazovskiy,64,RU,1527827478,99,67.47,33.38,14.12
177,dunda,48,IN,1527827478,100,30.62,63.8,1.03
178,hambantota,64,LK,1527827479,96,6.12,81.62,15.9
179,nuuk,92,GL,1527827479,80,64.17,41.0,53.02
180,taoudenni,56,ML,1527827479,22,22.68,82.64,13.22
181,tongling,32,CN,1527827479,73,30.93,79.37,7.29
182,swan river,92,CA,1527827479,98,52.11,46.43,9.64
183,roma,0,IT,1527827479,77,41.89,64.4,3.36
184,bandarbeyla,64,SO,1527827480,78,9.49,81.71,19.6
185,kosh-agach,0,RU,1527827480,31,49.99,49.31,4.72
186,alice springs,0,AU,1527827480,16,-23.7,66.2,8.05
187,kihei,40,US,1527827480,73,20.76,77.0,20.8
188,markova,75,RU,1527827481,54,52.21,57.2,24.61
189,shache,32,CN,1527827481,24,38.42,81.71,6.73
190,pochutla,56,MX,1527827481,100,15.74,81.8,11.99
191,duminichi,0,RU,1527827481,51,53.93,53.18,7.63
192,shitanjing,64,CN,1527827482,38,39.23,69.05,4.94
193,kalevala,8,FI,1527827482,42,64.12,58.04,7.74
194,saskylakh,92,RU,1527827482,90,71.97,41.42,17.25
195,salalah,75,OM,1527827482,88,17.01,82.4,6.93
196,san juan,40,PH,1527827482,56,14.6,93.2,12.75
197,severo-kurilsk,0,RU,1527827482,91,50.68,43.67,1.92
198,conde,80,BR,1527827482,90,-11.81,75.53,7.63
199,santa maria,40,BR,1527827482,93,-29.69,62.6,1.12
200,klaksvik,56,FO,1527827483,93,62.23,46.4,1.12
201,ribeira brava,75,PT,1527827483,59,32.65,66.2,10.29
202,victoria,75,BN,1527827483,88,5.28,80.6,8.05
203,nikolskoye,0,RU,1527827483,50,59.7,51.8,6.71
204,sur,0,OM,1527827483,76,22.57,89.48,4.5
205,yulara,0,AU,1527827483,14,-25.24,68.0,9.17
206,reforma,80,MX,1527827483,57,24.02,70.37,3.38
207,mahon,75,IE,1527827484,100,51.89,57.2,3.36
208,east london,0,ZA,1527827484,45,-33.02,62.6,6.93
209,sangar,20,RU,1527827484,44,63.92,57.95,2.93
210,roebourne,0,AU,1527827484,28,-20.77,87.83,5.17
211,ponta do sol,80,BR,1527827484,70,-20.63,56.36,4.38
212,presidente venceslau,0,BR,1527827484,42,-21.88,68.0,8.05
213,pinawa,12,CA,1527827485,74,50.15,52.46,12.44
214,koulamoutou,0,GA,1527827485,96,-1.13,71.27,2.37
215,terney,0,RU,1527827485,91,45.05,53.63,10.98
216,sisimiut,56,GL,1527827485,92,66.94,30.14,8.3
217,phalaborwa,0,ZA,1527827486,74,-23.95,62.63,2.59
218,vostok,0,RU,1527827486,54,46.45,71.81,4.16
219,ranghulu,0,CN,1527827486,24,46.63,96.74,16.8
220,lagoa,0,PT,1527827486,62,37.14,59.0,5.82
221,gumdag,12,TM,1527827486,44,39.2,86.75,7.85
222,shobara,20,JP,1527827487,46,34.92,73.4,4.7
223,kodiak,1,US,1527827487,78,39.95,77.0,4.7
224,brae,68,GB,1527827487,87,60.4,53.6,3.36
225,katsuura,20,JP,1527827487,52,33.93,69.8,6.93
226,tuatapere,0,NZ,1527827487,100,-46.13,49.61,3.27
227,avarua,75,CK,1527827487,83,-21.21,75.2,10.29
228,tezu,56,IN,1527827487,76,27.93,72.74,0.92
229,batagay-alyta,76,RU,1527827488,52,67.8,51.2,5.95
230,hue,20,VN,1527827488,50,16.47,95.0,8.05
231,port lincoln,68,AU,1527827488,86,-34.72,59.78,15.79
232,mabaruma,76,GY,1527827488,95,8.2,77.03,5.39
233,rosarito,40,CO,1527827488,88,4.91,68.0,4.7
234,hamilton,20,CA,1527827489,88,43.26,71.6,4.7
235,wukari,88,NG,1527827489,89,7.87,77.39,10.98
236,gizo,40,IL,1527827489,73,31.8,73.4,6.93
237,katobu,64,ID,1527827489,92,-4.94,82.34,4.16
238,nanortalik,20,GL,1527827489,92,60.14,34.49,4.94
239,redmond,75,US,1527827490,67,47.67,57.2,10.29
240,daru,80,SL,1527827490,99,7.99,71.72,3.04
241,general pico,92,AR,1527827490,82,-35.66,45.08,9.08
242,bumba,80,CD,1527827490,99,2.18,72.62,3.94
243,kaeo,20,NZ,1527827490,71,-35.1,60.14,14.67
244,soyo,76,AO,1527827490,89,-6.13,75.32,5.73
245,porosozero,36,RU,1527827491,36,62.72,56.42,4.38
246,beringovskiy,76,RU,1527827491,92,63.05,34.19,12.77
247,nongpoh,75,IN,1527827491,94,25.9,82.4,3.6
248,cravo norte,8,CO,1527827491,89,6.3,74.96,2.82
249,bubaque,0,GW,1527827491,100,11.28,78.2,13.22
250,garrel,0,DE,1527827492,88,52.96,64.4,2.24
251,yakeshi,24,CN,1527827492,56,49.28,80.81,13.44
252,airai,12,TL,1527827492,55,-8.93,82.01,2.37
253,fernandez,36,PH,1527827492,95,11.38,85.76,3.27
254,igrim,92,RU,1527827492,95,63.19,45.26,2.15
255,willowmore,88,ZA,1527827493,66,-33.3,52.64,13.33
256,tasiilaq,80,GL,1527827493,100,65.61,30.2,10.31
257,ust-maya,0,RU,1527827493,40,60.42,62.81,9.53
258,poum,0,MK,1527827493,83,41.28,62.99,2.26
259,gobabis,0,NA,1527827493,49,-22.45,46.61,7.63
260,torbay,90,CA,1527827494,100,47.66,35.6,11.41
261,mahina,20,ML,1527827494,67,13.76,77.3,6.96
262,irece,68,BR,1527827494,96,-11.3,62.81,7.63
263,pascagoula,1,US,1527827494,78,30.37,82.4,5.17
264,rundu,36,NA,1527827495,58,-17.91,58.52,1.7
265,porto novo,40,BR,1527827495,77,-23.68,66.2,2.24
266,puerto cabello,12,VE,1527827495,98,10.47,66.68,2.15
267,altay,0,CN,1527827495,42,47.83,51.83,2.71
268,san patricio,92,PY,1527827495,100,-26.98,65.36,2.26
269,saldanha,76,PT,1527827495,84,41.42,51.05,3.15
270,padang,8,ID,1527827495,100,-0.92,85.13,5.61
271,kolokani,80,ML,1527827496,73,13.58,78.11,6.51
272,inhambane,0,MZ,1527827496,77,-23.87,69.8,5.82
273,burnie,0,AU,1527827496,100,-41.05,53.81,4.72
274,copiapo,44,CL,1527827496,87,-27.37,53.6,3.36
275,tysmenytsya,0,UA,1527827497,93,48.9,57.2,12.44
276,caravelas,0,BR,1527827497,100,-17.73,75.98,8.19
277,salinopolis,0,BR,1527827497,100,-0.61,80.75,10.42
278,manggar,20,ID,1527827497,87,-2.88,85.79,4.05
279,saint pete beach,1,US,1527827497,83,27.73,78.8,10.29
280,veraval,75,FR,1527827497,93,49.65,60.8,2.24
281,praya,40,ID,1527827498,52,-8.71,87.8,12.75
282,kavaratti,92,IN,1527827498,100,10.57,81.2,13.44
283,coquimbo,40,CL,1527827498,87,-29.95,50.0,9.42
284,jardim,88,BR,1527827498,89,-21.48,69.56,4.38
285,nizhneudinsk,12,RU,1527827499,50,54.91,55.97,9.42
286,fairbanks,75,US,1527827499,71,64.84,57.2,2.71
287,assiniboia,100,CA,1527827499,96,49.63,53.0,11.43
288,cayambe,36,EC,1527827499,92,0.04,40.58,0.58
